Value Iteration,Value Iteration,Value Iteration,Value Iteration,Random Agent,Random Agent,Random Agent,Random Agent
Highway 1Hz,Highway 1Hz,Highway 5Hz,Highway 5Hz,Highway 1Hz,Highway 1Hz,Highway 5Hz,Highway 5Hz
reward,length,reward,length,reward,length,reward,length
38.995391551490485,1.0,21.401187380092736,0.115,1.8199100182334444,0.075,39.54924526274728,0.245
38.92449018964907,1.0,96.23953975264847,0.49,3.555210970632843,0.125,99.99945430816813,0.63
39.39677481624553,1.0,71.80228565364769,0.365,3.9559105164862545,0.15,154.5931133603281,0.975
39.44075173087262,1.0,55.435521253984284,0.285,3.9327168462434283,0.15,41.39814481824324,0.255
39.26397075547315,1.0,23.62672309578322,0.125,5.3366912210063076,0.175,75.293022955078,0.47
39.26340337428629,1.0,43.86356116084293,0.225,11.86789918286516,0.4,16.131302929694105,0.095
39.462055556759296,1.0,43.626668116807686,0.225,4.6682062815914,0.15,99.05098196427106,0.595
37.50415384911942,1.0,10.756252324388496,0.06,17.99315860011957,0.6,32.83457194916587,0.215
15.643610119652863,0.425,16.64909702456063,0.09,3.623185012942188,0.125,52.13550059984865,0.3
39.24072280824745,1.0,106.73499997046613,0.545,2.4209333235752997,0.1,14.550148001408523,0.1
20.73109511846017,0.55,81.19377410564435,0.415,3.0233502908624663,0.1,13.01278128962444,0.08
39.52919324391504,1.0,22.772182000701186,0.12,6.799192997904606,0.225,29.278175807783974,0.165
39.552778294616104,1.0,50.43550670691434,0.26,8.864774862326444,0.275,50.07187056786069,0.31
39.554261892689226,1.0,91.54026631465187,0.465,2.934287562287206,0.1,10.258767943560049,0.07
39.12868202146538,1.0,40.44964345810001,0.21,1.9352229190238397,0.075,30.535785525504988,0.2
38.97073460436765,1.0,73.89681249256383,0.375,4.490023907624332,0.175,8.035482015395962,0.055
39.350457986221414,1.0,86.93799269930918,0.445,8.353099383318847,0.25,10.42900737811392,0.06
0.9379972565157751,0.05,11.805690946576759,0.065,2.5771550546826028,0.1,32.984925053482186,0.225
38.77080602239965,1.0,21.75048860367938,0.115,6.934618797013273,0.25,50.56479631680594,0.295
39.417568150619,1.0,56.75037937446019,0.29,2.4438224961197283,0.1,130.57636383043308,0.81
38.414094011944485,1.0,57.41710652657856,0.295,13.842041373953563,0.475,54.43308097908337,0.355
39.306040406351514,1.0,21.76584087190551,0.115,2.7329807520418257,0.1,7.6879564536438885,0.045
38.77073302919014,1.0,198.22334735200144,1.0,33.52873468111668,1.0,64.53734208142792,0.415
39.10502478894829,1.0,78.62894661950628,0.4,20.40002074310326,0.7,32.575739946957775,0.21
39.64267845413198,1.0,7.6227331026222425,0.045,1.9130006968016178,0.075,18.419515623954346,0.12
39.01663670336848,1.0,198.68728046124497,1.0,2.4648847005609187,0.1,46.039911676099656,0.3
5.88996018994679,0.175,107.89299809177214,0.545,3.35493283168075,0.125,48.44908851527425,0.28
39.21761012980894,1.0,21.75048860367938,0.115,11.62334419261911,0.425,45.65113680203584,0.285
23.12963778720222,0.625,11.805690946576759,0.065,13.28971700524764,0.425,77.45093887492567,0.485
39.75520602371207,1.0,54.51734322517173,0.28,1.9087989071223335,0.075,8.83945110648696,0.055
7.358817841799119,0.225,26.627236330703088,0.14,1.7321320246470386,0.075,8.728016831510159,0.055
39.44171990018501,1.0,10.8070935906364,0.06,5.115202540512013,0.175,11.036072662899908,0.07
1.084900306540033,0.05,84.82401048904609,0.43,3.5340213756552203,0.125,99.86003465892954,0.62
39.55279400556545,1.0,27.62668173753258,0.145,14.264577756400508,0.525,32.183387260773195,0.2
39.39631732072914,1.0,38.77210451879409,0.2,11.510152695334035,0.4,37.89868394114916,0.24
32.39537345843499,0.85,15.82487458250438,0.085,22.37884672606452,0.775,20.360425492121674,0.12
39.46248496555651,1.0,51.46909463831675,0.265,3.889967540156376,0.125,16.393730218641434,0.1
39.73247313571135,1.0,94.72378200509793,0.485,14.62392334044661,0.475,40.57942016111438,0.255
39.59726123640003,1.0,20.8024383528291,0.11,3.354266656908633,0.125,63.889267515481194,0.38
1.0404558620955886,0.05,33.92795359997042,0.175,10.000799431965298,0.3,20.079502019431317,0.12
39.217065838911296,1.0,26.802304926280833,0.14,5.440584123569062,0.175,65.42407881476515,0.39
39.620431964296976,1.0,83.06115343773534,0.425,11.792791629045153,0.35,57.47750911170424,0.34
39.48665079416359,1.0,20.82416447718265,0.11,15.769670820723023,0.475,23.248107198967126,0.155
16.01724689129068,0.45,78.33897674864879,0.4,29.484826387962936,1.0,79.76472911752379,0.525
39.75472391926003,1.0,32.41309643753555,0.17,2.487106922783141,0.1,12.430942837489793,0.075
39.731567469996946,1.0,18.64872575786187,0.1,5.64413824680704,0.2,61.69991192082359,0.35
1.979667363468284,0.075,39.07375920945815,0.205,2.5999999999999996,0.1,8.446787300022331,0.05
39.10461057817077,1.0,89.30080549816813,0.455,1.777777777777778,0.075,27.657041311559873,0.17
39.23980470913192,1.0,101.74501471537998,0.515,21.94938051981364,0.675,21.195097624805502,0.125
39.46394660724663,1.0,42.772104287139165,0.22,1.8690183858603309,0.075,20.11812083970484,0.115
39.08521050889705,1.0,87.41655499586996,0.445,17.72925200221893,0.6,27.122186570655742,0.15
38.63933548723065,1.0,198.81832167997922,1.0,2.6209789267275916,0.1,22.745663022847626,0.14
38.996774910687634,1.0,57.7503793742801,0.295,19.77822582157048,0.675,54.90126010956486,0.365
39.062983613078536,1.0,175.25243818623352,0.89,25.601738815417647,0.775,28.317534878369802,0.165
38.90408471864506,1.0,67.38361472705553,0.345,5.222129484405383,0.175,13.093498736098255,0.09
39.621390759894844,1.0,121.62421718923477,0.62,14.399363430799148,0.475,21.770087971743685,0.13
31.615792122900512,0.825,21.648505419463262,0.115,29.262795425665516,1.0,60.99438215168439,0.37
2.001889585690506,0.075,56.64472747269746,0.295,19.062874282347067,0.6,28.587005581287837,0.17
39.44027704612318,1.0,33.47498303492624,0.175,6.61866897954417,0.25,27.88637230071655,0.17
8.599665339538396,0.25,6.879366881543026,0.04,3.4210209135359273,0.125,46.30165027685557,0.285
39.41901581080893,1.0,42.38281362785815,0.22,4.464262585134357,0.15,15.674130015084064,0.09
1.0268861454046638,0.05,21.75048860367938,0.115,3.243199815353884,0.125,44.898195645373455,0.285
38.93043577830186,1.0,75.3836102736607,0.385,4.332711385008618,0.15,19.34008782597935,0.12
39.24078015442577,1.0,141.34746923835655,0.715,2.759017442287977,0.1,30.528486480447594,0.2
39.37601185505725,1.0,25.772131700087215,0.135,11.400447596203007,0.325,26.606969871449376,0.175
39.19626453228021,1.0,81.77210420924489,0.415,28.683422865434622,1.0,73.78921637667237,0.455
39.08615451062172,1.0,36.55730318015592,0.19,14.956670812043189,0.475,46.330347275659065,0.285
39.485653839362044,1.0,55.64839289838571,0.285,4.064901427405623,0.15,139.86216189785253,0.88
7.6429878950575025,0.225,38.76573673438875,0.2,21.019518771856625,0.725,28.854124292412983,0.16
16.754695557596033,0.45,58.47136813993657,0.3,28.2405050905653,0.95,28.462932193569895,0.18
39.15094350478861,1.0,12.651836736752742,0.07,3.626263421529546,0.125,32.42927684372014,0.21
1.979667363468284,0.075,75.64839289750772,0.385,3.6491083676268863,0.125,78.34877515682993,0.52
39.15092838788548,1.0,9.660572452898348,0.055,4.690465405880891,0.15,8.773337383770679,0.05
39.307442306649,1.0,12.45487829924898,0.07,31.53403208745215,1.0,53.71528867052186,0.35
39.26204102373666,1.0,10.673701209076034,0.06,9.066329337770565,0.275,9.706107612824205,0.065
34.262771539719324,0.925,25.802312865438775,0.135,2.487686852740307,0.1,22.886011745614567,0.145
39.37309339788249,1.0,36.62666867380329,0.19,7.928765462577433,0.275,61.52495674912516,0.37
39.41945940522306,1.0,34.19919881574102,0.18,8.333519528631438,0.3,36.6945187582026,0.235
39.19439137454073,1.0,8.877462856734061,0.05,5.9090698432568995,0.225,12.418482716181535,0.075
16.109081768253123,0.45,8.667046366701808,0.05,7.90788236851529,0.275,35.13888075209225,0.215
39.260108263135905,1.0,6.770917295411119,0.04,8.801419462646217,0.275,22.303452571207373,0.145
39.26247310906643,1.0,86.77145403655224,0.44,10.801057181828972,0.325,11.283631615004074,0.065
38.94801182924521,1.0,35.750380237793735,0.185,8.68945939331447,0.25,17.703233902188007,0.115
20.508834650670202,0.55,12.753132037820883,0.07,9.707753709722683,0.325,10.608630930071769,0.07
19.642621435522937,0.525,108.5181560437833,0.55,4.061773968972629,0.15,32.55264904777813,0.2
39.17361273830801,1.0,43.82401054421798,0.225,4.445711306301604,0.15,15.281572911311358,0.1
39.55237435286469,1.0,38.56636907817119,0.2,12.796578809114141,0.425,12.502800970137695,0.09
39.77742813830916,1.0,117.26125508187636,0.595,18.62215241605562,0.575,31.38500473626001,0.18
39.037401258918344,1.0,50.62666806699543,0.26,2.7595967553221414,0.1,10.942227983589126,0.075
39.3735944002154,1.0,38.64839320697263,0.2,26.690887983654207,0.85,83.18950918165241,0.54
39.19723706745482,1.0,30.86356575148054,0.16,2.8020472314255946,0.1,28.077927917414478,0.18
39.509817238867875,1.0,51.804991881794614,0.265,25.528708475067443,0.9,20.54826261823914,0.13
39.73155475535466,1.0,63.06115462358863,0.325,3.130425764666276,0.1,44.69137365057617,0.265
39.55377985733082,1.0,32.75038180553717,0.17,2.668556252357173,0.1,31.880331434944832,0.185
38.37124551588745,1.0,17.33380488984717,0.095,3.9999999999999996,0.15,18.940724344574228,0.115
39.239788948106145,1.0,91.626668062105,0.465,15.02633888150733,0.5,20.33852723211203,0.12
1.979667363468284,0.075,55.75037937471445,0.285,6.758217620382321,0.25,25.865481218610064,0.145
39.30694181054501,1.0,62.25995538938898,0.32,22.5969179093026,0.725,7.795441808112554,0.045
39.21901594185753,1.0,141.15071787833713,0.715,13.015937958524848,0.4,13.039712441199399,0.075
39.039764520001384,1.0,103.82401048904606,0.525,7.862926965771372,0.225,11.2927402893553,0.075
39.61902545473759,1.0,103.626668062105,0.525,13.79817771649341,0.45,26.93819090829039,0.175
39.03976457544126,1.0,35.750380237793735,0.185,6.843245721005991,0.25,23.481994273473294,0.145
4.933943212315456,0.15,27.648406688227094,0.145,10.067723478432054,0.3,39.17760276255723,0.23
39.21901572246376,1.0,22.798880589831445,0.12,7.110529809550672,0.225,9.779278885724624,0.07
38.88280680315095,1.0,7.796115932259699,0.045,14.043691546506576,0.45,31.418307280950167,0.195
39.508362411577174,1.0,30.62667290952692,0.16,16.421190820856783,0.525,23.84778319873612,0.14
38.971249974660026,1.0,115.3859633660929,0.585,5.02129260039205,0.175,31.62559666793195,0.19
38.79680804040137,1.0,71.43552091373262,0.365,2.0241118079127283,0.075,21.36890333347079,0.13
39.4402607759899,1.0,35.29533634387377,0.185,11.200606639344947,0.35,29.16891236313812,0.18
38.99534608232396,1.0,129.55537117347257,0.66,12.26656158693074,0.45,23.883614335222333,0.15
1.0404558620955886,0.05,76.34637251769155,0.39,11.285038061401101,0.325,47.501759399252414,0.32
39.26201287197604,1.0,22.283044270134987,0.12,21.77644879521839,0.75,25.701382569069725,0.16
38.75457222347914,1.0,8.939082851883157,0.05,2.846020961436447,0.1,44.251918259282064,0.29
39.105040827098755,1.0,91.1577122922612,0.465,1.957445141246062,0.075,29.766923923542926,0.175
28.55411202522806,0.775,22.627298949584205,0.12,18.77838791791256,0.575,13.860254513213917,0.08
14.911705910517929,0.4,31.375242616425613,0.165,4.08597282517494,0.125,26.589732037549282,0.155
39.195816281167815,1.0,51.40904777255342,0.265,18.112099725757368,0.6,40.480076073310876,0.275
38.90598800144463,1.0,57.51623691987148,0.295,2.890465405880892,0.1,39.48028683072967,0.24
1.9352229190238397,0.075,25.648420508538152,0.135,10.220760296598794,0.375,40.73962237091605,0.25
39.1272058756924,1.0,44.54225450355475,0.23,4.929794987147554,0.15,58.966463623536264,0.35
39.196789153967835,1.0,27.974663350500904,0.15,1.864354462677889,0.075,7.245304468369298,0.045
38.90501148344377,1.0,96.98961226483819,0.495,5.9151537436131765,0.2,52.20130842632695,0.305
39.596779342593756,1.0,142.1579283994239,0.72,23.64063238106063,0.825,63.18796675789087,0.38
38.906431378294585,1.0,143.61764875168785,0.73,13.529786457611397,0.425,80.80272499894383,0.475
1.0268861454046638,0.05,36.3986462678476,0.19,14.471056085226092,0.525,27.182960547611422,0.17
39.10406802169689,1.0,57.7503793742801,0.295,19.308987836069914,0.625,50.9707685553835,0.34
